"","datetime","city","country","shape"
"32059",2004-02-27,"allentown","us","circle"
"43824",2013-04-27,"allentown","us","circle"
"77328",2012-08-25,"allentown","us","circle"
"56803",2003-06-22,"allexander valley",NA,"circle"
"33686",2007-03-10,"alliance","us","circle"
"17526",2010-11-07,"allison park","us","circle"
"47629",1998-05-17,"almont","us","circle"
"58974",1996-06-30,"almudevar (spain)",NA,"circle"
"19336",2004-01-21,"aloha","us","circle"
"62497",2011-07-13,"aloha","us","circle"
"63495",2002-07-15,"aloha","us","circle"
"7673",2008-10-07,"alpharetta","us","circle"
"19409",2007-12-01,"alpharetta","us","circle"
"23101",2013-12-26,"alpharetta","us","circle"
"1088",1978-10-12,"alpine","us","circle"
"83913",2011-09-18,"alpine","us","circle"
"3889",2011-10-21,"alsip","us","circle"
"80414",2010-08-08,"alstead","us","circle"
"22490",2007-12-24,"alta loma","us","circle"
"28194",2014-01-08,"alta loma","us","circle"
"80772",1997-09-10,"alta loma","us","circle"
"30440",2005-02-19,"altamonte springs","us","circle"
"80384",2008-08-08,"altomont",NA,"circle"
"29641",2000-02-15,"alton","us","circle"
"38098",2009-03-30,"alton","us","circle"
"59160",2005-06-30,"altoona","us","circle"
"70747",2012-07-07,"altoona","us","circle"
"40921",1961-04-15,"altus","us","circle"
"89025",2012-09-09,"alvadore","us","circle"
"25965",2012-12-07,"alvarado","us","circle"
"78254",2011-08-29,"alvin","us","circle"
"15486",1999-11-03,"amarillo","us","circle"
"40869",2012-04-14,"amarillo","us","circle"
"48577",2004-05-02,"amarillo","us","circle"
"85908",2011-09-24,"amarillo","us","circle"
"2721",2013-10-16,"amelia","us","circle"
"69133",2010-07-04,"amelia","us","circle"
"31191",2003-02-22,"american canyon","us","circle"
"12708",2014-01-01,"american fork","us","circle"
"25978",2012-01-27,"american fork","us","circle"
"11143",2013-11-16,"ames","us","circle"
"87371",2011-09-30,"ames","us","circle"
"37255",2006-03-25,"amherst","us","circle"
"53410",2013-06-01,"amherst","us","circle"
"71918",2013-08-11,"amherst","us","circle"
"3482",1999-10-20,"amity","us","circle"
"15053",2013-11-28,"amory","us","circle"
"42459",2008-04-21,"amory","us","circle"
"7816",2004-10-08,"amsterdam","us","circle"
"38211",2002-03-31,"amsterdam (netherlands)",NA,"circle"
"77297",2011-08-25,"amsterdam (netherlands)",NA,"circle"
"19612",1998-12-12,"amsterdam (the netherlands)",NA,"circle"
"11716",1988-11-19,"anaheim","us","circle"
"14847",2001-11-28,"anaheim","us","circle"
"27115",2008-01-03,"anaheim","us","circle"
"30312",2009-02-18,"anaheim","us","circle"
"56907",2012-06-22,"anaheim","us","circle"
"3905",2011-10-21,"anchorage","us","circle"
"4485",2006-10-23,"anchorage","us","circle"
"4633",2013-10-23,"anchorage","us","circle"
"6281",1998-10-31,"anchorage","us","circle"
"13996",2011-11-23,"anchorage","us","circle"
"20634",2010-12-16,"anchorage","us","circle"
"21128",2013-12-19,"anchorage","us","circle"
"22367",2013-12-23,"anchorage","us","circle"
"24711",2003-01-24,"anchorage","us","circle"
"74414",2004-08-16,"anchorage","us","circle"
"78316",1972-08-30,"anchorage","us","circle"
"79804",2010-08-06,"anchorage","us","circle"
"1333",2013-10-12,"anderson","us","circle"
"58772",1975-06-30,"anderson","us","circle"
"60636",1972-06-09,"anderson","us","circle"
"64586",2013-07-18,"anderson","us","circle"
"34886",2007-03-14,"andover","us","circle"
"36269",2012-03-20,"andover","us","circle"
"84335",1981-09-20,"andrews afb",NA,"circle"
"59152",2005-06-30,"andros island (bahamas)",NA,"circle"
"21400",2001-12-20,"aneta (by/near)","us","circle"
"63953",2007-07-16,"angeir",NA,"circle"
"48582",2005-05-02,"angels camp","us","circle"
"30001",2009-02-16,"angelus oaks","us","circle"
"35978",2004-03-19,"anglemont (canada)",NA,"circle"
"82899",1997-09-15,"angola","us","circle"
"51046",2006-05-06,"ankara (turkey)",NA,"circle"
"491",2013-10-11,"ankeny","us","circle"
"7005",2007-10-04,"ann arbor","us","circle"
"32065",2005-02-27,"ann arbor","us","circle"
"56911",2012-06-22,"anna maria island",NA,"circle"
"35995",2005-03-19,"annandale","us","circle"
"37908",2009-03-29,"annapolis","us","circle"
"45652",2011-04-09,"annapolis","us","circle"
"77729",2008-08-27,"anniston","us","circle"
"84528",2009-09-20,"ansonia","us","circle"
"60174",2011-06-06,"antalya (turkey)",NA,"circle"
"31515",2014-02-23,"antelope","us","circle"
"1158",2003-10-12,"antioch","us","circle"
"9489",2012-01-11,"antioch","us","circle"
"14229",2013-11-24,"antioch","us","circle"
"21981",2013-12-02,"antioch","us","circle"
"23960",2007-12-31,"antioch","us","circle"
"29827",2013-02-15,"antioch","us","circle"
"35805",2005-03-18,"antioch","us","circle"
"43914",2001-04-28,"antioch","us","circle"
"51889",2011-06-10,"antioch","us","circle"
"53595",2012-06-12,"antioch","us","circle"
"11681",2012-11-18,"antrim (ireland)",NA,"circle"
"33297",2006-02-08,"apache junction","us","circle"
"49204",2001-05-25,"apex","us","circle"
"23368",2006-12-28,"apollo","us","circle"
"3700",2012-10-20,"apple valley","us","circle"
"9491",2012-11-01,"apple valley","us","circle"
"10808",1999-11-16,"apple valley","us","circle"
"13479",2011-11-02,"apple valley","us","circle"
"22940",2013-12-26,"apple valley","us","circle"
"42347",2014-04-20,"apple valley","us","circle"
"56702",2012-06-02,"apple valley","us","circle"
"64025",2011-07-16,"apple valley","us","circle"
"67486",2005-07-29,"apple valley","us","circle"
"1209",2007-10-12,"appleton","us","circle"
"10684",2011-11-15,"appleton","us","circle"
"39570",2012-03-09,"appleton","us","circle"
"50021",2013-05-29,"appleton","us","circle"
"57889",2010-06-26,"appleton","us","circle"
"50353",2013-05-31,"appling","us","circle"
"13813",2013-11-22,"arapahoe","us","circle"
"28451",2005-02-11,"arbroath (uk/scotland)","gb","circle"
"30517",2012-02-19,"arcadia","us","circle"
"38171",2014-03-30,"arcadia","us","circle"
"49364",1999-05-26,"arco","us","circle"
"5932",2010-10-29,"arden","us","circle"
"6454",2004-10-31,"arden","us","circle"
"73183",2013-08-13,"arden",NA,"circle"
"15483",1999-11-03,"area 51",NA,"circle"
"41765",2000-04-19,"arizona (on highway)",NA,"circle"
"59112",2004-06-30,"arizona (southern; on highway)",NA,"circle"
"29740",2006-02-15,"arizona (western; hwy 40)",NA,"circle"
"19362",2005-12-01,"arizona city","us","circle"
"32964",2007-02-06,"arizona city","us","circle"
"25901",2009-12-07,"arizona or colorano (inflight sighting)",NA,"circle"
"34335",2000-03-12,"arkansas (northeast tip of)",NA,"circle"
"3370",2013-10-19,"arlington","us","circle"
"8033",2004-10-09,"arlington","us","circle"
"42276",2009-04-20,"arlington","us","circle"
"68813",2004-07-04,"arlington","us","circle"
"75074",2012-08-18,"arlington","us","circle"
"81128",2001-09-11,"arlington","us","circle"
"86043",2003-09-25,"arlington","us","circle"
"31547",2001-02-24,"arlington (3-4 miles east of)","us","circle"
"65109",2010-07-20,"arlington heights","us","circle"
"69134",2010-07-04,"arlington heights","us","circle"
"63510",2002-07-15,"arnes/gimli (r.m. of) ?? (canada)",NA,"circle"
"19549",2013-12-01,"arnold","us","circle"
"27171",2012-01-03,"arnold","us","circle"
"56898",2012-06-22,"arnold","us","circle"
"58718",1972-06-30,"arroy seco",NA,"circle"
"383",2004-10-11,"arroyo grande","us","circle"
"23852",1998-12-31,"aruba",NA,"circle"
"59717",1959-06-05,"arvada","us","circle"
"72438",2011-08-01,"arvada","us","circle"
"20452",2011-12-15,"ashburn","us","circle"
"54472",1984-06-15,"asheville","us","circle"
"77024",2012-08-24,"asheville","us","circle"
"26328",2012-01-28,"ashkelon (israel)",NA,"circle"
"13786",2012-11-22,"ashland","us","circle"
"39112",2003-03-07,"ashland","us","circle"
"65744",2005-07-22,"ashland","us","circle"
"69984",2008-07-05,"ashland","us","circle"
"82412",1958-09-14,"ashland","us","circle"
"87266",2005-09-30,"ashland","us","circle"
"16494",2004-11-05,"ashley","us","circle"
"50280",2007-05-31,"ashtabula","us","circle"
"254",2011-10-10,"ashville","us","circle"
"19696",2007-12-12,"ashville","us","circle"
"55126",1998-06-16,"aspers","us","circle"
"21969",2013-01-22,"aston",NA,"circle"
"88406",2002-09-07,"astoria","us","circle"
"1354",1996-10-13,"astoria (outside of)","us","circle"
"26210",2006-12-08,"asuncion (paraguay)",NA,"circle"
"20981",2012-12-18,"atascadero (101 freeway)","us","circle"
"43276",2011-04-24,"athens","us","circle"
"45729",1974-05-10,"athens","us","circle"
"76973",2009-08-24,"athens","us","circle"
"86864",2013-09-28,"athens","us","circle"
"86227",1998-09-26,"athens (near)","us","circle"
"41616",2005-04-17,"athol","us","circle"
"4483",2006-10-23,"atlanta","us","circle"
"8609",2009-11-10,"atlanta","us","circle"
"13886",2000-11-23,"atlanta","us","circle"
"14513",2005-11-26,"atlanta","us","circle"
"32485",2010-02-03,"atlanta","us","circle"
"35969",2004-03-19,"atlanta","us","circle"
"35970",2004-03-19,"atlanta","us","circle"
"50198",2013-05-30,"atlanta","us","circle"
"51402",2007-05-08,"atlanta","us","circle"
"57881",2009-06-26,"atlanta","us","circle"
"64895",1995-07-20,"atlanta","us","circle"
"66521",2008-07-25,"atlanta","us","circle"
"67702",2002-07-30,"atlanta","us","circle"
"14082",1999-11-24,"atlanta (going northwest toward&#44 highway 316)","us","circle"
"48169",1998-05-20,"atlantic city","us","circle"
"52841",1991-06-01,"atlantic city","us","circle"
"52638",1982-06-01,"atlantic ocean",NA,"circle"
"57730",2012-06-25,"atlantic ocean",NA,"circle"
"70257",2007-07-06,"atlantic ocean",NA,"circle"
"67458",2003-07-30,"atlantic ocean (canada)",NA,"circle"
"32166",2014-02-27,"attica","us","circle"
"53949",2008-06-14,"attica","us","circle"
"81585",2000-09-01,"attleboro","us","circle"
"56301",2012-06-20,"atwater","us","circle"
"49605",2004-05-28,"atwood","us","circle"
"67677",1998-07-30,"auanga",NA,"circle"
"6295",1999-10-31,"auburn","us","circle"
"8075",2008-10-09,"auburn","us","circle"
"13888",2000-11-23,"auburn","us","circle"
"14576",2011-11-26,"auburn","us","circle"
"20152",2011-12-14,"auburn","us","circle"
"23553",2006-12-29,"auburn","us","circle"
"24205",2013-12-31,"auburn","us","circle"
"29704",2004-02-15,"auburn","us","circle"
"33501",2006-02-09,"auburn","us","circle"
"38653",2013-03-04,"auburn","us","circle"
"42528",2012-04-21,"auburn","us","circle"
"57344",2005-06-24,"auburn","us","circle"
"58257",2008-06-28,"auburn","us","circle"
"69015",2009-07-04,"auburn","us","circle"
"69737",2013-07-04,"auburn","us","circle"
"73411",2011-08-14,"auburn","us","circle"
"77623",1999-08-27,"auburn","us","circle"
"79379",2013-08-04,"auburn","us","circle"
"79759",2006-08-06,"auburn","us","circle"
"84302",2013-09-19,"auburn","us","circle"
"87880",2012-09-04,"auburn","us","circle"
"20197",2013-12-14,"auckland (new zealand)",NA,"circle"
"22516",2009-12-24,"auckland (new zealand)",NA,"circle"
"33546",2013-02-09,"auckland (new zealand)",NA,"circle"
"34130",2005-03-01,"auckland (new zealand)",NA,"circle"
"34496",1986-03-13,"auckland (new zealand)",NA,"circle"
"36713",2003-03-22,"auckland (new zealand)",NA,"circle"
"76917",2005-08-24,"auckland (new zealand)",NA,"circle"
"83147",2009-09-15,"auckland (new zealand)",NA,"circle"
"64256",2011-07-17,"aughnacloy (northern ireland)",NA,"circle"
"40473",2013-04-12,"augusta","us","circle"
"55620",2006-06-18,"augusta","us","circle"
"80130",2012-08-07,"augusta","us","circle"
"83933",2012-09-18,"augusta","us","circle"
"12750",1977-11-20,"aurora","us","circle"
"21118",2012-12-19,"aurora","us","circle"
"56710",2012-06-02,"aurora","us","circle"
"69697",2013-07-04,"aurora","us","circle"
"71894",2012-08-11,"aurora","us","circle"
"75736",2011-08-20,"aurora","us","circle"
"366",2003-10-11,"austin","us","circle"
"12644",2014-01-01,"austin","us","circle"
"17614",2013-01-17,"austin","us","circle"
"21329",2014-01-02,"austin","us","circle"
"29456",2009-02-14,"austin","us","circle"
"33426",1998-02-09,"austin","us","circle"
"42432",2006-04-21,"austin","us","circle"
"45271",2009-04-07,"austin","us","circle"
"46979",2011-05-14,"austin","us","circle"
"64962",2001-07-20,"austin","us","circle"
"65639",2013-07-02,"austin","us","circle"
"65760",2007-07-22,"austin","us","circle"
"67295",2007-07-28,"austin","us","circle"
"71865",2012-08-11,"austin","us","circle"
"82836",1989-09-15,"austin","us","circle"
"32658",2009-02-04,"austin (rural)","us","circle"
"11686",2012-11-18,"austintown","us","circle"
"64044",2013-07-16,"austintown","us","circle"
"58220",2005-06-28,"australia",NA,"circle"
"65043",2007-07-20,"avalon","us","circle"
"13551",2013-11-02,"aventura","us","circle"
"47323",2005-05-15,"aviano (italy)",NA,"circle"
"76246",2009-08-02,"avoch (uk/scotland)","gb","circle"
"3430",1976-10-20,"avon lake","us","circle"
"55171",2004-06-16,"avondale","us","circle"
"70776",2013-07-07,"aynor","us","circle"
"81804",2012-09-01,"aynor","us","circle"
"28115",2008-01-08,"azle","us","circle"
"45767",1997-05-10,"azle","us","circle"
"81348",1965-09-01,"azores (aboard uss albany)",NA,"circle"
"15044",2013-11-28,"azusa","us","circle"
"28492",2009-02-10,"azusa","us","circle"
"43851",2014-04-27,"azuza",NA,"circle"
"27604",1989-01-06,"b&uuml;nde (birdwood barracks) (germany)",NA,"circle"
"57441",2011-06-24,"babbitt","us","circle"
"27356",2012-01-04,"babson park","us","circle"
"80205",1967-08-08,"babylon","us","circle"
"86469",2000-09-27,"babylon","us","circle"
"45214",2004-04-07,"bacolod (philippines)",NA,"circle"
"72712",2007-08-12,"baconton","us","circle"
"52140",1955-06-01,"bagley","us","circle"
"51856",2009-06-10,"baguio (philippines)",NA,"circle"
"82935",1999-09-15,"bahamas",NA,"circle"
"42999",2004-04-23,"bailey","us","circle"
"60001",1998-06-06,"bailey/fairplay (between&#44 off hy 285)",NA,"circle"
"45859",2007-05-10,"bailey&#39s harbor",NA,"circle"
"8313",2006-01-10,"bairnsdale (victoria&#44 australia)","au","circle"
"63164",1982-07-15,"baker lake (rural wa)",NA,"circle"
"184",2007-10-10,"bakersfield","us","circle"
"1059",2013-10-01,"bakersfield","us","circle"
"6663",1986-10-03,"bakersfield","us","circle"
"8716",1961-11-11,"bakersfield","us","circle"
"16699",2010-01-15,"bakersfield","us","circle"
"18400",2012-11-09,"bakersfield","us","circle"
"38376",2001-03-03,"bakersfield","us","circle"
"47951",1999-05-19,"bakersfield","us","circle"
"54919",2005-06-15,"bakersfield","us","circle"
"66510",2008-07-25,"bakersfield","us","circle"
"67842",2011-07-30,"bakersfield","us","circle"
"68760",2003-07-04,"bakersfield","us","circle"
"87909",1966-09-05,"bakersfield","us","circle"
"31516",2014-02-23,"balboa island","us","circle"
"25939",2011-01-27,"bald knob","us","circle"
"54424",1981-06-15,"baldwin","us","circle"
"77695",2006-08-27,"baldwin","us","circle"
"73546",1969-08-15,"baldwin city","us","circle"
"58540",2013-06-29,"baldwinsville","us","circle"
"20340",2003-12-15,"baling (malaysia)",NA,"circle"
"28295",2009-01-09,"ball ground","us","circle"
"26247",2008-01-28,"ballston spa","us","circle"
"57447",2012-06-24,"ballwin","us","circle"
"12233",2005-01-01,"baltimore","us","circle"
"27969",2013-01-07,"baltimore","us","circle"
"32415",2002-02-03,"baltimore","us","circle"
"32796",2007-02-05,"baltimore",NA,"circle"
"37928",2011-03-29,"baltimore","us","circle"
"69097",2010-07-04,"baltimore","us","circle"
"75791",2013-08-20,"baltimore",NA,"circle"
"82148",2012-09-12,"baltimore","us","circle"
"50202",2013-05-30,"baltimore (rossville &amp; belair roads)","us","circle"
"62673",2001-07-14,"bamberg (germany/bavaria)","de","circle"
"65254",2005-07-21,"banbridge (northern ireland)",NA,"circle"
"11047",2007-11-16,"bangalore (india)",NA,"circle"
"11908",2012-11-19,"bangalore (india)",NA,"circle"
"13730",2008-11-22,"bangalore (india)",NA,"circle"
"27670",2007-01-06,"bangalore (india)",NA,"circle"
"49777",2007-05-28,"bangalore (india)",NA,"circle"
"11753",2001-11-19,"bangkok (thailand)",NA,"circle"
"60860",1973-07-10,"bar harbor","us","circle"
"80978",2011-09-10,"baraboo","us","circle"
"25380",2014-01-25,"barbados",NA,"circle"
"37332",2014-03-25,"barberton","us","circle"
"40006",2014-04-11,"barberton","us","circle"
"61649",1991-07-01,"barberton","us","circle"
"69481",2012-07-04,"barberton","us","circle"
"18399",2012-01-19,"barbourville","us","circle"
"38436",2008-03-03,"barcelona (spain)",NA,"circle"
"30295",2008-02-18,"bariloche (argentina)",NA,"circle"
"67096",2012-07-27,"barmouth (uk/wales)","gb","circle"
"87025",2008-09-29,"barnsley (uk/england)","gb","circle"
"88359",1998-09-07,"barnsley (uk/england)","gb","circle"
"74884",2001-08-18,"barnum","us","circle"
"61064",2009-07-10,"barnwell","us","circle"
"1743",2007-10-14,"barquisimeto (venezuela)",NA,"circle"
"87653",2013-09-03,"barrhaven (canada)",NA,"circle"
"933",2007-10-01,"barrie (canada)","ca","circle"
"12518",2012-01-01,"barrie (canada)","ca","circle"
"62102",2002-07-12,"barrie (canada)","ca","circle"
"87540",2007-09-03,"barrie (canada)","ca","circle"
"56558",2013-06-21,"barrington","us","circle"
"8307",2005-01-10,"barryton","us","circle"
"6929",2001-10-04,"barstow","us","circle"
"48144",1984-05-20,"barstow","us","circle"
"52011",2005-06-11,"barstow","us","circle"
"87647",2012-09-03,"barstow (outside of)",NA,"circle"
"70550",2001-07-07,"bartlesville","us","circle"
"43603",2008-04-26,"bartlett/memphis",NA,"circle"
"23092",2013-12-26,"bartow county (hwy 20; near wilderness camp rd.)","us","circle"
"47332",2005-05-15,"basak gate lapu-lapu city&#44cebu (philippines)",NA,"circle"
"80109",2012-08-07,"basel (switzerland)",NA,"circle"
"4253",2005-10-22,"bassevelde (belgium)",NA,"circle"
"8162",2012-10-09,"batavia","us","circle"
"44408",2013-04-30,"batavia","us","circle"
"64652",2003-07-19,"batavia","us","circle"
"85124",2011-09-02,"batavia","us","circle"
"55682",2010-06-18,"batchewana bay (canada)",NA,"circle"
"53954",2008-06-14,"batesville","us","circle"
"8370",2009-01-10,"bath (uk/england)","gb","circle"
"9850",2002-11-13,"baton rouge","us","circle"
"12107",1998-01-01,"baton rouge","us","circle"
"50258",2004-05-31,"baton rouge","us","circle"
"55470",2011-06-17,"baton rouge","us","circle"
"73282",2004-08-14,"baton rouge","us","circle"
"4115",2011-10-02,"battle creek","us","circle"
"69236",2010-07-04,"battle creek","us","circle"
"73078",2009-08-13,"battle creek","us","circle"
"6679",1999-10-03,"battle ground/vancouver",NA,"circle"
"46649",2012-05-12,"bay minette","us","circle"
"47976",2002-05-19,"bay shore","us","circle"
"10646",2009-11-15,"bayamon (puerto rico)",NA,"circle"
"37845",2002-03-29,"bayfield","us","circle"
"79072",2012-08-03,"bayonne","us","circle"
"14349",2006-11-25,"baytown","us","circle"
"37756",2010-03-28,"beach park","us","circle"
"38415",2006-03-03,"beachwood","us","circle"
"16983",2004-11-06,"beale afb",NA,"circle"
"29873",1999-02-16,"beale afb (2 mi n of)",NA,"circle"
"8228",1998-01-10,"beals","us","circle"
"14748",2008-11-27,"bear","us","circle"
"22902",2013-12-25,"bear","us","circle"
"61067",2009-07-10,"bear creek","us","circle"
"71029",1989-07-09,"beardstown","us","circle"
"5227",2007-10-26,"bearskin lake (canada)","ca","circle"
"42870",2010-04-22,"beaufort","us","circle"
"58073",2009-06-27,"beaufort","us","circle"
"62427",2006-07-13,"beaufort","us","circle"
"76511",2010-08-22,"beaumont","us","circle"
"5317",2013-10-26,"beaver","us","circle"
"10188",2008-11-14,"beaver","us","circle"
"35242",2005-03-15,"beaver dam","us","circle"
"39417",2014-03-08,"beaver dam",NA,"circle"
"31914",2007-02-26,"beavercreek","us","circle"
"81035",2013-09-10,"beavercreek","us","circle"
"13089",2008-11-21,"beaverton","us","circle"
"35566",2014-03-16,"beaverton","us","circle"
"78917",2001-08-03,"beaverton","us","circle"
"86186",2012-09-25,"beaverton/tigard",NA,"circle"
"3534",2003-10-20,"beckley","us","circle"
"29941",2004-02-16,"beckley","us","circle"
"4962",2004-10-25,"bedford","us","circle"
"14507",2004-11-26,"bedford","us","circle"
"39945",2011-04-11,"bedford","us","circle"
"82521",2007-09-14,"bedford park","us","circle"
"14736",2008-11-27,"bedfordshire (uk/england)","gb","circle"
"29913",2002-02-16,"bee branch","us","circle"
"71612",2013-08-10,"beech creek","us","circle"
"83174",2010-09-15,"beechbottom (oh co. airport rd.)",NA,"circle"
"73303",2005-08-14,"beeville","us","circle"
"12889",2007-11-20,"beijing (china)",NA,"circle"
"12825",2001-11-20,"bel air","us","circle"
"36825",2013-03-22,"belair",NA,"circle"
"40863",2012-04-14,"belcourt","us","circle"
"84455",2005-09-20,"belfair","us","circle"
"88135",2013-09-05,"belgium",NA,"circle"
"10642",2009-11-15,"belgrade","us","circle"
"10762",1998-11-16,"belgrade","us","circle"
"12534",2012-01-01,"belgrade","us","circle"
"23604",2010-12-29,"belle vernon (westward)","us","circle"
"989",2009-10-01,"belleview","us","circle"
"36363",2002-03-21,"belleville","us","circle"
"69166",2010-07-04,"belleville","us","circle"
"82371",2011-09-13,"belleville","us","circle"
"7768",1999-10-08,"bellevue","us","circle"
"12164",2001-01-01,"bellevue","us","circle"
"17436",2006-01-17,"bellevue","us","circle"
"28779",2001-02-01,"bellevue","us","circle"
"46692",1999-05-13,"bellevue","us","circle"
"48252",2005-05-20,"bellevue","us","circle"
"53119",1999-06-01,"bellevue","us","circle"
"56975",2013-06-22,"bellevue","us","circle"
"70407",2013-07-06,"bellevue","us","circle"
"72130",1992-08-01,"bellevue","us","circle"
"74001",2003-08-15,"bellevue","us","circle"
"10258",2012-11-14,"bellingham","us","circle"
"14205",2012-11-24,"bellingham","us","circle"
"29037",2005-02-12,"bellingham","us","circle"
"38330",2014-03-31,"bellingham","us","circle"
"39229",2013-03-07,"bellingham","us","circle"
"41638",2007-04-17,"bellingham","us","circle"
"49409",2005-05-26,"bellingham","us","circle"
"71906",2012-08-11,"bellingham","us","circle"
"88122",2013-09-05,"bellingham","us","circle"
"34116",2003-03-01,"bellmore","us","circle"
"57751",2013-06-25,"bellport","us","circle"
"32016",1998-02-27,"bellville","us","circle"
"6903",1998-10-04,"belmont","us","circle"
"71258",1960-08-10,"belmont","us","circle"
"78835",2013-08-31,"beloit township",NA,"circle"
"89031",2012-09-09,"belton","us","circle"
"19498",2011-12-01,"bemidji","us","circle"
"77037",2013-08-24,"bemus point","us","circle"
"8770",2000-11-11,"bend","us","circle"
"14250",2013-11-24,"bend","us","circle"
"15502",2000-11-03,"bend","us","circle"
"23783",2012-12-30,"bend","us","circle"
"35633",2004-03-17,"bend","us","circle"
"55270",2012-06-16,"bend","us","circle"
"66821",2010-07-26,"bensenville","us","circle"
"12397",2010-01-01,"benton","us","circle"
"32148",2014-02-27,"benton","us","circle"
"57412",2010-06-24,"benton","us","circle"
"68214",2003-07-03,"benton","us","circle"
"88778",2012-09-08,"benton","us","circle"
"6179",2011-10-30,"berea","us","circle"
"34692",2007-03-13,"bergen","us","circle"
"28069",2006-01-08,"bergen (norway)",NA,"circle"
"75670",2008-08-20,"bergenfield","us","circle"
"48637",2010-05-02,"berkeley","us","circle"
"38829",2013-03-05,"berkley",NA,"circle"
"51101",2011-05-06,"berkley heights",NA,"circle"
"11091",2011-11-16,"berlin","us","circle"
"48043",2009-05-19,"berlin","us","circle"
"56306",2013-06-20,"berlin","us","circle"
"85144",2012-09-02,"berlin","us","circle"
"67369",2012-07-28,"berlin (germany)","de","circle"
"76704",2008-08-23,"berlin (germany)","de","circle"
"55778",2001-06-19,"bermuda",NA,"circle"
"69354",2011-07-04,"berryville","us","circle"
"4569",2011-10-23,"berwyn","us","circle"
"68334",2010-07-03,"berwyn","us","circle"
"1270",2012-10-12,"bessemer","us","circle"
"31802",2011-02-25,"bessemer city","us","circle"
"72471",2013-08-01,"bethany beach","us","circle"
"36562",2005-03-02,"bethel","us","circle"
"38494",2013-03-03,"bethel","us","circle"
"45106",2012-04-06,"bethel","us","circle"
"86109",2008-09-25,"bethel","us","circle"
"86118",2008-09-25,"bethel","us","circle"
"22628",2013-12-24,"bethel park","us","circle"
"35326",2010-03-15,"bethleham",NA,"circle"
"13419",2009-01-12,"bethlehem","us","circle"
"41264",2012-04-15,"bethpage","us","circle"
"70099",2013-07-05,"bettendorf","us","circle"
"84883",2013-09-21,"bettendorf","us","circle"
"37986",1979-03-30,"between jackson fla. &amp; atlanta ga.",NA,"circle"
"43648",2013-04-26,"beverly","us","circle"
"5078",2013-10-25,"beverly hills","us","circle"
"88279",2008-09-06,"beverly hills/ los angeles",NA,"circle"
"14093",2001-11-24,"bicester&#44 oxfordshire (uk/england)",NA,"circle"
"28696",2014-02-11,"biddeford","us","circle"
"50704",2013-05-04,"big bay","us","circle"
"88537",2012-09-08,"big bear city","us","circle"
"68830",2005-07-04,"big bear lake","us","circle"
"28551",1996-02-11,"big cypress parks",NA,"circle"
"2586",2004-10-16,"big cypress preserve",NA,"circle"
"11306",2006-11-17,"big oak valley",NA,"circle"
"46060",2011-05-11,"bighorn (municipal district) (canada)",NA,"circle"
"23538",2004-12-29,"billerica","us","circle"
"52284",1968-06-01,"billings","us","circle"
"60263",2001-06-07,"billings","us","circle"
"17094",2009-11-06,"biloxi","us","circle"
"14913",2006-11-28,"birmingham","us","circle"
"14915",2006-11-28,"birmingham","us","circle"
"24079",2011-12-31,"birmingham","us","circle"
"60493",2004-06-08,"birmingham","us","circle"
"31136",2014-02-02,"birmingham (uk/endland)","gb","circle"
"10201",2008-11-14,"birmingham (uk/england)","gb","circle"
"15652",2007-11-03,"birmingham (uk/england)","gb","circle"
"21068",2005-12-19,"birmingham (uk/england)","gb","circle"
"60816",2012-06-09,"birmingham (uk/england)","gb","circle"
"74317",1989-08-16,"birmingham (uk/england)","gb","circle"
"87916",1976-09-05,"birmingham (uk/england)","gb","circle"
"56820",2005-06-22,"bishkek (kyrgystan)",NA,"circle"
"73366",2009-08-14,"bishops falls (canada)","ca","circle"
"28593",2003-02-11,"bishops head","us","circle"
"57675",2009-06-25,"bishopstoke (uk/england)","gb","circle"
"72384",2009-08-01,"bismarck","us","circle"
"73283",2004-08-14,"bismarck","us","circle"
"38055",2005-03-30,"bison","us","circle"
"77857",1972-08-28,"bixby south",NA,"circle"
"9800",2013-11-12,"black canyon city","us","circle"
"29878",2000-02-16,"black canyon city","us","circle"
"68490",2013-07-03,"black hawk",NA,"circle"
"81283",2012-09-11,"black river","us","circle"
"49082",2006-05-24,"blackburn&#44 lancashire (uk/england)",NA,"circle"
"67335",2011-07-28,"blackduck/bemidji (between)",NA,"circle"
"26319",2012-12-08,"blackfoot","us","circle"
"54272",1973-06-16,"blackhawk",NA,"circle"
"65736",2004-07-22,"blaine","us","circle"
"22262",2007-12-23,"blairs","us","circle"
"59891",2012-06-05,"blairs","us","circle"
"86324",2007-09-26,"blandford forum (uk/england)","gb","circle"
"3099",2009-10-18,"bloemfontein (free state)",NA,"circle"
"54556",1992-06-15,"bloomfield","us","circle"
"18837",2007-12-10,"bloomfield (canada)",NA,"circle"
"37316",2012-03-25,"bloomington","us","circle"
"46045",2010-05-11,"bloomington","us","circle"
"67306",2009-07-28,"bloomington","us","circle"
"71268",1972-08-10,"bloomington","us","circle"
"80613",2006-08-09,"bloomington","us","circle"
"85871",2008-09-24,"bloomsburg","us","circle"
"65762",2007-07-22,"blossvale","us","circle"
"4659",1997-10-24,"blountville","us","circle"
"29393",2004-02-14,"blue bell","us","circle"
"487",2012-10-11,"blue island","us","circle"
"56248",2010-06-20,"blue island","us","circle"
"77282",2010-08-25,"blue island","us","circle"
