"","datetime","city","country","shape"
"78731",2007-08-31,"belleville (canada)","ca","changing"
"8305",2005-01-10,"bellevue","us","changing"
"31562",2002-02-24,"bellevue","us","changing"
"43159",2001-04-24,"bellevue","us","changing"
"71124",2005-07-09,"bellevue","us","changing"
"72330",2006-08-01,"bellevue","us","changing"
"48064",2011-05-19,"bellingham","us","changing"
"67420",2000-07-29,"bellingham","us","changing"
"60594",2012-06-08,"beloit","us","changing"
"33259",2002-02-08,"beloit/milwaukee (between)",NA,"changing"
"37826",2000-03-29,"belton","us","changing"
"62989",1968-07-15,"bena","us","changing"
"21636",2011-12-21,"bend","us","changing"
"5948",2011-10-29,"bend/burns (between)",NA,"changing"
"30568",1996-02-20,"benicia","us","changing"
"1546",2012-10-13,"benidorm (spain)",NA,"changing"
"36932",2008-03-23,"berkeley","us","changing"
"87461",2001-09-03,"berlin","us","changing"
"39545",2010-03-09,"bethlehem","us","changing"
"1740",2006-10-14,"beverly hills","us","changing"
"11038",2006-11-16,"beverly hills","us","changing"
"32452",2006-02-03,"bideford (uk/england)","gb","changing"
"57516",1992-06-25,"big bear lake area",NA,"changing"
"11145",2013-11-16,"billerica","us","changing"
"32598",2003-02-04,"billings","us","changing"
"55073",2013-06-15,"billings","us","changing"
"80535",1998-08-09,"birkshire county",NA,"changing"
"42782",2000-04-22,"birmingham","us","changing"
"26161",2005-12-08,"birmingham (uk/england)","gb","changing"
"76835",1997-08-24,"biscoe","us","changing"
"50186",2012-05-30,"bishopville","us","changing"
"80926",2008-09-10,"bismarck","us","changing"
"13976",2008-11-23,"black rock","us","changing"
"32353",2004-02-29,"blackpool (uk/england)","gb","changing"
"31738",2004-02-25,"bladensburg","us","changing"
"75827",2000-08-21,"blaine","us","changing"
"31027",2006-02-02,"bloomington","us","changing"
"3013",2003-10-18,"blountville","us","changing"
"14403",2011-11-25,"blue springs","us","changing"
"35133",2000-03-15,"blue springs","us","changing"
"43685",1983-04-27,"blythe",NA,"changing"
"43951",2005-04-28,"blytheville","us","changing"
"75155",2001-08-19,"bognor (uk/england)","gb","changing"
"17123",2010-01-16,"boise","us","changing"
"21904",2010-01-22,"boise","us","changing"
"64302",2013-07-17,"boise","us","changing"
"44965",2014-04-05,"bolingbrook","us","changing"
"8409",2012-01-10,"bon air","us","changing"
"59706",2013-06-04,"bonita springs","us","changing"
"29875",1999-02-16,"boron","us","changing"
"60082",2005-06-06,"bossier city","us","changing"
"8613",2010-11-10,"boston","us","changing"
"79037",2010-08-03,"boston","us","changing"
"11512",2001-11-18,"boulder","us","changing"
"71478",2007-08-10,"boulder","us","changing"
"82402",2013-09-13,"boulder","us","changing"
"44496",2006-04-03,"bowie","us","changing"
"48263",2006-05-20,"bowland&#44 lancashire (uk/england)",NA,"changing"
"33090",2001-02-07,"bowling green","us","changing"
"22542",2011-12-24,"bradenton","us","changing"
"22543",2011-12-24,"bradenton","us","changing"
"53347",2010-06-01,"bradenton","us","changing"
"50923",2012-05-05,"brampton (canada)","ca","changing"
"79736",2004-08-06,"brampton (canada)","ca","changing"
"81608",2001-09-01,"branch",NA,"changing"
"19430",2008-12-01,"brawley","us","changing"
"86216",1996-09-26,"breckenridge","us","changing"
"17929",2009-01-18,"bremerton","us","changing"
"88574",1980-09-08,"brewerton","us","changing"
"88828",1980-09-09,"brick",NA,"changing"
"61204",2000-07-11,"bridgewater","us","changing"
"88998",2010-09-09,"brighton","us","changing"
"40977",1983-04-15,"brisbane (qld&#44 australia)","au","changing"
"47234",2001-05-15,"brisbane (qld&#44 australia)","au","changing"
"6486",2005-10-31,"bristol","us","changing"
"39669",2001-04-10,"bristol","us","changing"
"73042",2007-08-13,"bristol","us","changing"
"28286",2008-01-09,"broadstairs (uk/england",NA,"changing"
"16211",2013-01-14,"broadway","us","changing"
"6177",2010-10-30,"broken arrow","us","changing"
"13719",2008-11-22,"broken arrow","us","changing"
"59261",2009-06-30,"brookings","us","changing"
"23063",2011-12-26,"brooksville","us","changing"
"69681",2013-07-04,"broomfield","us","changing"
"87520",2005-09-03,"browns summit","us","changing"
"83633",2009-09-17,"brownsdale","us","changing"
"42562",2014-04-21,"buchanan","us","changing"
"41208",2008-04-15,"buckhead","us","changing"
"41209",2008-04-15,"buckhead","us","changing"
"9727",2009-11-12,"buda","us","changing"
"8567",2006-11-10,"buena park","us","changing"
"17951",2009-01-18,"buena park","us","changing"
"80779",1998-09-10,"buena vista","us","changing"
"44938",2013-04-05,"buenos aires (argentina)",NA,"changing"
"7239",2010-10-05,"buffalo","us","changing"
"64907",1997-07-20,"buffalo","us","changing"
"88760",2012-09-08,"buffalo grove","us","changing"
"58235",2006-06-28,"bullhead",NA,"changing"
"45441",2010-04-08,"bunnell","us","changing"
"8506",2002-11-10,"burbank","us","changing"
"10594",2006-11-15,"burbank","us","changing"
"13228",2001-01-12,"burbank","us","changing"
"62221",2010-07-12,"burbank","us","changing"
"83472",2013-09-16,"burbank","us","changing"
"8597",2008-11-10,"burbank (outside of; near pasco)","us","changing"
"16378",1999-11-05,"burlingame/san mateo (between)",NA,"changing"
"5372",2004-10-27,"burlington","us","changing"
"14249",2013-11-24,"burlington","us","changing"
"77903",2001-08-28,"burlington","us","changing"
